ward_id,ward_name,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,clay_std,infiltration_index,soil_type
"54
","Ward_54
",3.1,93.18333333333334,3.7166666666666663,1.275,0.10671873729054746,0.27151666666666663,silty
"122
","Ward_122
",2.8784313725490196,93.59607843137255,3.5254901960784317,1.4354901960784314,0.21588226389554896,0.2727333333333333,silty
"29
","Ward_29
",3.09,93.06,3.85,1.2919999999999998,0.19621416870348585,0.27001,silty
"109
","Ward_109
",2.8678899082568807,93.70091743119266,3.431192660550459,1.3176146788990826,0.20484823100114294,0.27372844036697247,silty
"32
","Ward_32
",2.8241379310344827,93.23793103448276,3.9379310344827587,1.2603448275862068,0.1808291117534744,0.2679793103448276,silty
"57
","Ward_57
",2.9564102564102566,93.22307692307693,3.8205128205128203,1.2443589743589742,0.22778699809756725,0.2698,silty
"136
","Ward_136
",2.8666666666666667,93.31666666666666,3.8166666666666664,1.22,0.19507833184532714,0.26948333333333335,silty
"106
","Ward_106
",2.8457142857142856,93.57428571428571,3.5799999999999996,1.396,0.1237509018726155,0.27200285714285716,silty
"4
","Ward_4
",2.988888888888889,93.26666666666667,3.7444444444444445,1.27,0.07617394000445604,0.2707666666666666,silty
"52
","Ward_52
",3.16,93.1,3.7399999999999998,1.256,0.08,0.2715,silty
"38
","Ward_38
",3.5888888888888886,92.88888888888889,3.522222222222222,1.248888888888889,0.14740554623801777,0.2756111111111111,silty
"81
","Ward_81
",2.9,93.2695652173913,3.8304347826086955,1.3243478260869566,0.13330182362396428,0.2694652173913043,silty
"127
","Ward_127
",2.5883333333333334,93.91666666666666,3.495,1.3226666666666669,0.21712131785402064,0.27190833333333336,silty
"53
","Ward_53
",3.3833333333333337,93.0,3.6166666666666663,1.275,0.06871842709362767,0.27375,silty
"34
","Ward_34
",2.9,93.21818181818182,3.881818181818182,1.3027272727272727,0.12662171161076471,0.2689,silty
"135
","Ward_135
",3.4,92.91666666666666,3.6833333333333336,1.2533333333333332,0.12133516482134196,0.27308333333333334,silty
"117
","Ward_117
",3.184615384615385,93.13076923076923,3.684615384615385,1.2338461538461538,0.14595127662315596,0.2722076923076923,silty
"105
","Ward_105
",2.9071428571428575,93.42857142857143,3.6642857142857146,1.41,0.08949974347244048,0.27132142857142855,silty
"20
","Ward_20
",3.375,92.95,3.675,1.22,0.1479019945774904,0.273075,silty
"102
","Ward_102
",3.0444444444444443,93.35555555555555,3.6,1.4105555555555553,0.13333333333333333,0.2725777777777778,silty
"46
","Ward_46
",3.1416666666666666,93.15,3.7083333333333335,1.2525,0.21969043877440111,0.271775,silty
"73
","Ward_73
",2.8545454545454545,93.35454545454544,3.7909090909090906,1.3354545454545452,0.13111095547141777,0.26971818181818186,silty
"82
","Ward_82
",2.7800000000000002,93.37333333333333,3.8466666666666667,1.3566666666666665,0.10241527663824812,0.2688066666666667,silty
"124
","Ward_124
",2.8238095238095235,93.82380952380952,3.3523809523809525,1.3838095238095238,0.11799534946060826,0.27441904761904756,silty
"56
","Ward_56
",2.922222222222222,93.15555555555555,3.922222222222222,1.2766666666666666,0.16850834320114558,0.2685444444444444,silty
"3
","Ward_3
",2.924,93.32000000000001,3.7560000000000002,1.3004,0.1416474496770062,0.27038,silty
"36
","Ward_36
",3.0764705882352943,93.04117647058823,3.88235294117647,1.2911764705882354,0.17568452380080093,0.2696,silty
"41
","Ward_41
",3.6,93.0,3.4,1.2725,0.0,0.277,silty
"37
","Ward_37
",3.3600000000000003,93.02000000000001,3.62,1.256,0.116619037896906,0.27362000000000003,silty
"139
","Ward_139
",2.833333333333333,93.33333333333334,3.8333333333333335,1.2983333333333333,0.16599866130651642,0.2691666666666666,silty
"23
","Ward_23
",3.425,93.125,3.45,1.25,0.1118033988749895,0.27575,silty
"40
","Ward_40
",3.5166666666666666,92.9,3.5833333333333335,1.2566666666666668,0.22669117514559073,0.27464999999999995,silty
"121
","Ward_121
",3.2888888888888888,93.24444444444444,3.4666666666666663,1.3392592592592591,0.17213259316477408,0.2750222222222222,silty
"33
","Ward_33
",2.9612903225806453,93.30322580645161,3.735483870967742,1.2848387096774192,0.17329517443307474,0.2707548387096774,silty
"103
","Ward_103
",3.1058823529411765,93.34117647058824,3.5529411764705885,1.4488235294117646,0.06056253024110001,0.2733411764705882,silty
"13
","Ward_13
",3.2,93.13846153846154,3.6615384615384614,1.3046153846153845,0.1820332240953728,0.27252307692307687,silty
"66
","Ward_66
",2.9454545454545453,93.25454545454545,3.8,1.3084848484848484,0.1392621247645583,0.2699818181818182,silty
"123
","Ward_123
",3.0757575757575757,93.50909090909092,3.415151515151515,1.3915151515151516,0.14999234752441917,0.2747363636363636,silty
"63
","Ward_63
",2.90625,93.409375,3.684375,1.30984375,0.1864292342284332,0.27109687499999996,silty
"21
","Ward_21
",3.4166666666666665,93.05,3.5333333333333337,1.2383333333333333,0.1247219128924647,0.2748,silty
"49
","Ward_49
",3.45,93.0,3.55,1.2575,0.05,0.27475,silty
"70
","Ward_70
",2.825,93.475,3.7,1.305,0.12909944487358055,0.27059999999999995,silty
"45
","Ward_45
",3.0791666666666666,93.025,3.8958333333333335,1.2554166666666666,0.23888485138706939,0.2694625,silty
"100
","Ward_100
",3.075,93.42916666666666,3.4958333333333336,1.3666666666666665,0.10197698542100349,0.2738458333333333,silty
"92
","Ward_92
",2.9071428571428575,93.425,3.667857142857143,1.3492857142857142,0.13901071754306119,0.27128214285714286,silty
"9
","Ward_9
",3.5,92.86666666666666,3.6333333333333337,1.2333333333333334,0.04714045207910317,0.2740333333333333,silty
"114
","Ward_114
",2.9384615384615382,93.78461538461538,3.276923076923077,1.3289743589743588,0.14404689133526297,0.2757076923076923,silty
"101
","Ward_101
",3.0827586206896553,93.36896551724138,3.548275862068966,1.3620689655172413,0.12210987041121221,0.27330000000000004,silty
"138
","Ward_138
",2.966666666666667,93.26,3.7733333333333334,1.238,0.14360439485692011,0.27035999999999993,silty
"31
","Ward_31
",2.9434782608695653,93.18695652173912,3.8695652173913047,1.2678260869565217,0.16268075594669312,0.2692086956521739,silty
"104
","Ward_104
",3.0388888888888888,93.42222222222222,3.5388888888888888,1.4188888888888889,0.10076865081787252,0.27322777777777774,silty
"5
","Ward_5
",2.9423076923076925,93.30384615384615,3.753846153846154,1.2942307692307693,0.11842157167954348,0.27047692307692306,silty
"126
","Ward_126
",2.738,93.964,3.2979999999999996,1.3182,0.1974740489279541,0.274674,silty
"14
","Ward_14
",3.2421052631578946,93.07894736842105,3.6789473684210527,1.28,0.16084954515722238,0.2725,silty
"111
","Ward_111
",2.818604651162791,93.92093023255813,3.2604651162790694,1.3283720930232559,0.1037428280148626,0.27540930232558136,silty
"130
","Ward_130
",3.2388888888888885,93.38888888888889,3.3722222222222222,1.2544444444444445,0.0931280811902234,0.27586111111111117,silty
"19
","Ward_19
",3.3600000000000003,93.0,3.6399999999999997,1.222,0.07999999999999999,0.2734,silty
"78
","Ward_78
",3.3083333333333336,93.05,3.6416666666666666,1.3308333333333335,0.1552328000849763,0.273175,silty
"27
","Ward_27
",3.3,93.0142857142857,3.6857142857142855,1.2485714285714287,0.12453996981544782,0.2726571428571429,silty
"98
","Ward_98
",3.2857142857142856,93.38571428571429,3.3285714285714283,1.3876190476190475,0.11605769149479943,0.2765285714285714,silty
"6
","Ward_6
",3.1571428571428575,93.14642857142857,3.6964285714285716,1.1910714285714286,0.1990731072767397,0.27196785714285715,silty
"2
","Ward_2
",2.8964285714285714,93.37142857142857,3.7321428571428568,1.3271428571428572,0.15131228688796328,0.27053214285714283,silty
"59
","Ward_59
",2.7,93.32121212121213,3.978787878787879,1.309090909090909,0.17711077813578738,0.2670333333333333,silty
"131
","Ward_131
",2.847826086956522,93.44782608695652,3.7043478260869565,1.3282608695652174,0.19444069369563388,0.27064347826086954,silty
"42
","Ward_42
",3.3,92.975,3.725,1.2625,0.16393596310755001,0.27222500000000005,silty
"129
","Ward_129
",2.55,93.84473684210526,3.605263157894737,1.3510526315789475,0.2282050883018821,0.27054210526315786,silty
"51
","Ward_51
",3.34,93.03999999999999,3.62,1.272,0.132664991614216,0.27354,silty
"120
","Ward_120
",3.2214285714285715,93.22142857142856,3.557142857142857,1.2342857142857142,0.15452362609131381,0.27375714285714287,silty
"8
","Ward_8
",3.3666666666666663,92.81666666666666,3.8166666666666664,1.21,0.1950783318453271,0.27148333333333335,silty
"1
","Ward_1
",2.9454545454545453,93.24090909090908,3.8136363636363635,1.2872727272727271,0.16867250286617702,0.2698318181818182,silty
"80
","Ward_80
",2.9854166666666666,93.14027777777778,3.874305555555556,1.2722916666666668,0.17824239417222526,0.26932430555555553,silty
