date,ward_id,period,sar_water_extent
2015-03-01,120,2014-2016,0.0
2015-03-01,8,2014-2016,2.1738846884605853e-05
2015-03-01,1,2014-2016,0.0
2015-03-01,80,2014-2016,0.046386625989884224
2015-03-01,55,2014-2016,0.0
2015-03-01,64,2014-2016,0.0
2015-03-01,107,2014-2016,0.0
2015-03-01,77,2014-2016,0.0
2015-03-01,28,2014-2016,0.0
2015-03-01,112,2014-2016,0.0
2015-03-01,133,2014-2016,0.0
2015-03-01,65,2014-2016,0.0
2015-03-01,24,2014-2016,0.0
2015-03-01,128,2014-2016,0.0
2015-03-01,50,2014-2016,0.0
2015-03-01,113,2014-2016,0.0
2015-03-01,94,2014-2016,0.0
2015-03-01,79,2014-2016,0.028523390705693683
2015-03-01,11,2014-2016,0.0
2015-03-01,15,2014-2016,0.0
2015-03-01,140,2014-2016,0.0
2015-03-01,97,2014-2016,0.0
2015-03-01,48,2014-2016,0.0
2015-03-01,35,2014-2016,0.0
2015-03-01,116,2014-2016,0.0
2015-03-01,95,2014-2016,0.0
2015-03-01,30,2014-2016,0.0
2015-03-01,58,2014-2016,0.04895503567075921
2015-03-08,93,2014-2016,0.0
2015-03-08,61,2014-2016,0.0
2015-03-08,86,2014-2016,0.0
2015-03-08,90,2014-2016,0.0
2015-03-08,26,2014-2016,0.0
2015-03-08,72,2014-2016,0.0
2015-03-08,134,2014-2016,0.0
2015-03-08,99,2014-2016,0.0
2015-03-08,125,2014-2016,0.0
2015-03-08,118,2014-2016,0.0
2015-03-08,83,2014-2016,0.0
2015-03-08,43,2014-2016,0.0
2015-03-08,47,2014-2016,0.0
2015-03-08,115,2014-2016,0.0
2015-03-08,68,2014-2016,0.0
2015-03-08,39,2014-2016,0.0
2015-03-08,12,2014-2016,0.0
2015-03-08,108,2014-2016,0.3902634460581441
2015-03-08,110,2014-2016,0.0
2015-03-08,141,2014-2016,0.0
2015-03-08,17,2014-2016,0.0
2015-03-08,7,2014-2016,0.0
2015-03-08,16,2014-2016,0.0
2015-03-08,137,2014-2016,0.0
2015-03-08,84,2014-2016,0.0
2015-03-08,18,2014-2016,0.0
2015-03-08,25,2014-2016,0.0
2015-03-08,60,2014-2016,0.0
2015-03-08,10,2014-2016,0.0
2015-03-08,62,2014-2016,0.0
2015-03-08,71,2014-2016,0.0
2015-03-08,91,2014-2016,0.0
2015-03-08,75,2014-2016,0.0
2015-03-08,96,2014-2016,0.0
2015-03-08,88,2014-2016,0.0
2015-03-08,44,2014-2016,0.0
2015-03-08,85,2014-2016,0.0
2015-03-08,89,2014-2016,0.0
2015-03-08,67,2014-2016,0.0
2015-03-08,76,2014-2016,0.0
2015-03-08,74,2014-2016,0.0
2015-03-08,87,2014-2016,0.0
2015-03-08,132,2014-2016,0.0
2015-03-08,69,2014-2016,0.0
2015-03-08,22,2014-2016,0.0
2015-03-08,119,2014-2016,0.0
2015-03-08,54,2014-2016,0.0
2015-03-08,122,2014-2016,0.0
2015-03-08,29,2014-2016,0.0
2015-03-08,109,2014-2016,0.0
2015-03-08,32,2014-2016,0.0
2015-03-08,57,2014-2016,0.0
2015-03-08,136,2014-2016,0.0
2015-03-08,106,2014-2016,0.0
2015-03-08,4,2014-2016,0.0
2015-03-08,52,2014-2016,0.0
2015-03-08,38,2014-2016,0.0
2015-03-08,81,2014-2016,0.0
2015-03-08,127,2014-2016,0.0
2015-03-08,53,2014-2016,0.0
2015-03-08,34,2014-2016,0.0
2015-03-08,135,2014-2016,0.0
2015-03-08,117,2014-2016,0.0
2015-03-08,105,2014-2016,0.0
2015-03-08,20,2014-2016,0.0
2015-03-08,102,2014-2016,0.0
2015-03-08,46,2014-2016,0.0
2015-03-08,73,2014-2016,0.0
2015-03-08,82,2014-2016,0.0
2015-03-08,124,2014-2016,0.0
2015-03-08,56,2014-2016,0.0
2015-03-08,3,2014-2016,0.0
2015-03-08,36,2014-2016,0.0
2015-03-08,41,2014-2016,0.0
2015-03-08,37,2014-2016,0.0
2015-03-08,139,2014-2016,0.0
2015-03-08,23,2014-2016,0.0
2015-03-08,40,2014-2016,0.0
2015-03-08,121,2014-2016,0.0
2015-03-08,33,2014-2016,0.0
2015-03-08,103,2014-2016,0.0
2015-03-08,13,2014-2016,0.0
2015-03-08,66,2014-2016,0.0
2015-03-08,123,2014-2016,0.0
2015-03-08,63,2014-2016,0.0
2015-03-08,21,2014-2016,0.0
2015-03-08,49,2014-2016,0.0
2015-03-08,70,2014-2016,0.0
2015-03-08,45,2014-2016,0.0
2015-03-08,100,2014-2016,0.0
2015-03-08,92,2014-2016,0.0
2015-03-08,9,2014-2016,0.0
2015-03-08,114,2014-2016,0.0
2015-03-08,101,2014-2016,0.0
2015-03-08,138,2014-2016,0.0
2015-03-08,31,2014-2016,0.0
2015-03-08,104,2014-2016,0.0
2015-03-08,5,2014-2016,0.0
2015-03-08,126,2014-2016,0.0
2015-03-08,14,2014-2016,0.0
2015-03-08,111,2014-2016,0.0
2015-03-08,130,2014-2016,0.0
2015-03-08,19,2014-2016,0.0
2015-03-08,78,2014-2016,0.0
2015-03-08,27,2014-2016,0.0
2015-03-08,98,2014-2016,0.0
2015-03-08,6,2014-2016,0.0
2015-03-08,2,2014-2016,0.0
2015-03-08,59,2014-2016,0.0
2015-03-08,131,2014-2016,0.0
2015-03-08,42,2014-2016,0.0
2015-03-08,129,2014-2016,0.0
2015-03-08,51,2014-2016,0.0
2015-03-08,120,2014-2016,0.0
2015-03-08,8,2014-2016,0.0
2015-03-08,1,2014-2016,0.0
2015-03-08,80,2014-2016,0.0
2015-03-08,55,2014-2016,0.0
2015-03-08,64,2014-2016,0.0
2015-03-08,107,2014-2016,0.0
2015-03-08,77,2014-2016,0.0
2015-03-08,28,2014-2016,0.0
2015-03-08,112,2014-2016,0.0
2015-03-08,133,2014-2016,0.0
2015-03-08,65,2014-2016,0.0
2015-03-08,24,2014-2016,0.0
2015-03-08,128,2014-2016,0.0
2015-03-08,50,2014-2016,0.0
2015-03-08,113,2014-2016,0.0
2015-03-08,94,2014-2016,0.0
2015-03-08,79,2014-2016,0.0
2015-03-08,11,2014-2016,0.0
2015-03-08,15,2014-2016,0.0
2015-03-08,140,2014-2016,0.0
2015-03-08,97,2014-2016,0.0
2015-03-08,48,2014-2016,0.0
2015-03-08,35,2014-2016,0.0
2015-03-08,116,2014-2016,0.0
2015-03-08,95,2014-2016,0.0
2015-03-08,30,2014-2016,0.0
2015-03-08,58,2014-2016,0.0
2015-03-25,93,2014-2016,0.0
2015-03-25,61,2014-2016,0.0
2015-03-25,86,2014-2016,0.0
2015-03-25,90,2014-2016,0.07717592667088685
2015-03-25,26,2014-2016,0.0
2015-03-25,72,2014-2016,0.0
2015-03-25,134,2014-2016,0.0
2015-03-25,99,2014-2016,0.0
2015-03-25,125,2014-2016,0.0
2015-03-25,118,2014-2016,0.0
2015-03-25,83,2014-2016,0.0
2015-03-25,43,2014-2016,0.0
2015-03-25,47,2014-2016,0.0
2015-03-25,115,2014-2016,0.0
2015-03-25,68,2014-2016,0.0
2015-03-25,39,2014-2016,0.0
2015-03-25,12,2014-2016,0.0
2015-03-25,108,2014-2016,0.1527582925938239
2015-03-25,110,2014-2016,0.007881676747776947
2015-03-25,141,2014-2016,0.0013989321865216853
2015-03-25,17,2014-2016,0.0
2015-03-25,7,2014-2016,0.0002588155557458916
2015-03-25,16,2014-2016,0.0
2015-03-25,137,2014-2016,0.0
2015-03-25,84,2014-2016,0.0
2015-03-25,18,2014-2016,0.0
2015-03-25,25,2014-2016,0.0
2015-03-25,60,2014-2016,0.0
2015-03-25,10,2014-2016,0.0
2015-03-25,62,2014-2016,0.0
2015-03-25,71,2014-2016,0.0
2015-03-25,91,2014-2016,0.0
2015-03-25,75,2014-2016,0.0017200720354185745
2015-03-25,96,2014-2016,0.0
2015-03-25,88,2014-2016,0.0
2015-03-25,44,2014-2016,0.0
2015-03-25,85,2014-2016,0.0
2015-03-25,89,2014-2016,0.0
2015-03-25,67,2014-2016,0.0
2015-03-25,76,2014-2016,0.0
2015-03-25,74,2014-2016,0.0
2015-03-25,87,2014-2016,0.0
2015-03-25,132,2014-2016,0.0
2015-03-25,69,2014-2016,0.0
2015-03-25,22,2014-2016,0.0
2015-03-25,119,2014-2016,0.0
2015-03-25,54,2014-2016,0.0
2015-03-25,122,2014-2016,0.0
2015-03-25,29,2014-2016,0.0
2015-03-25,109,2014-2016,0.01604006354098382
2015-03-25,32,2014-2016,0.0
2015-03-25,57,2014-2016,0.1091658245335134
2015-03-25,136,2014-2016,0.0
2015-03-25,106,2014-2016,0.0
2015-03-25,4,2014-2016,0.0
2015-03-25,52,2014-2016,0.0
2015-03-25,38,2014-2016,0.0
2015-03-25,81,2014-2016,0.0
2015-03-25,127,2014-2016,0.0
2015-03-25,53,2014-2016,0.0
2015-03-25,34,2014-2016,0.0
2015-03-25,135,2014-2016,0.0
2015-03-25,117,2014-2016,0.0010933770827091522
2015-03-25,105,2014-2016,0.0
2015-03-25,20,2014-2016,0.0
2015-03-25,102,2014-2016,0.0
2015-03-25,46,2014-2016,0.0
2015-03-25,73,2014-2016,0.0
2015-03-25,82,2014-2016,0.0
2015-03-25,124,2014-2016,0.0
2015-03-25,56,2014-2016,0.0
2015-03-25,3,2014-2016,0.0
2015-03-25,36,2014-2016,0.0
2015-03-25,41,2014-2016,0.0
2015-03-25,37,2014-2016,0.0
2015-03-25,139,2014-2016,0.0
2015-03-25,23,2014-2016,0.0
2015-03-25,40,2014-2016,0.0
2015-03-25,121,2014-2016,0.0
2015-03-25,33,2014-2016,0.05938100812178941
2015-03-25,103,2014-2016,0.0
2015-03-25,13,2014-2016,0.0
2015-03-25,66,2014-2016,0.001257607291163213
2015-03-25,123,2014-2016,0.0
2015-03-25,63,2014-2016,0.0
2015-03-25,21,2014-2016,0.0
2015-03-25,49,2014-2016,0.0
2015-03-25,70,2014-2016,0.0
2015-03-25,45,2014-2016,0.00027377828034131876
2015-03-25,100,2014-2016,0.0
2015-03-25,92,2014-2016,0.0
2015-03-25,9,2014-2016,8.319610378119689e-05
2015-03-25,114,2014-2016,0.0
2015-03-25,101,2014-2016,0.0
2015-03-25,138,2014-2016,0.0
2015-03-25,31,2014-2016,0.0
2015-03-25,104,2014-2016,0.0
2015-03-25,5,2014-2016,0.0
2015-03-25,126,2014-2016,0.0
2015-03-25,14,2014-2016,0.0
2015-03-25,111,2014-2016,0.0
2015-03-25,130,2014-2016,0.0
2015-03-25,19,2014-2016,3.230386305746373e-06
2015-03-25,78,2014-2016,0.0
2015-03-25,27,2014-2016,0.0
2015-03-25,98,2014-2016,0.0
2015-03-25,6,2014-2016,0.0
2015-03-25,2,2014-2016,0.0
2015-03-25,59,2014-2016,0.0
2015-03-25,131,2014-2016,0.0
2015-03-25,42,2014-2016,0.0
2015-03-25,129,2014-2016,0.0
2015-03-25,51,2014-2016,0.0
2015-03-25,120,2014-2016,0.0
2015-03-25,8,2014-2016,0.00032715862193397505
2015-03-25,1,2014-2016,0.0
2015-03-25,80,2014-2016,0.013096114217473717
2015-03-25,55,2014-2016,0.0
2015-03-25,64,2014-2016,0.0
2015-03-25,107,2014-2016,0.0
2015-03-25,77,2014-2016,0.0
2015-03-25,28,2014-2016,0.0
2015-03-25,112,2014-2016,0.0
2015-03-25,133,2014-2016,0.0
2015-03-25,65,2014-2016,0.0
2015-03-25,24,2014-2016,0.0
2015-03-25,128,2014-2016,0.0
2015-03-25,50,2014-2016,0.0
2015-03-25,113,2014-2016,0.0
2015-03-25,94,2014-2016,0.0
2015-03-25,79,2014-2016,0.025725511058210037
2015-03-25,11,2014-2016,0.0
2015-03-25,15,2014-2016,0.0
2015-03-25,140,2014-2016,0.0
2015-03-25,97,2014-2016,0.0
2015-03-25,48,2014-2016,0.0
2015-03-25,35,2014-2016,0.0
2015-03-25,116,2014-2016,0.0
2015-03-25,95,2014-2016,0.0
2015-03-25,30,2014-2016,0.0
2015-03-25,58,2014-2016,0.04358952220433335
2015-04-01,93,2014-2016,0.0
2015-04-01,61,2014-2016,0.0
2015-04-01,86,2014-2016,0.0
2015-04-01,90,2014-2016,0.0
2015-04-01,26,2014-2016,0.0
2015-04-01,72,2014-2016,0.0
2015-04-01,134,2014-2016,0.0
2015-04-01,99,2014-2016,0.0
2015-04-01,125,2014-2016,0.0
2015-04-01,118,2014-2016,0.0
2015-04-01,83,2014-2016,0.0
2015-04-01,43,2014-2016,0.0
2015-04-01,47,2014-2016,0.0
2015-04-01,115,2014-2016,0.0
2015-04-01,68,2014-2016,0.0
2015-04-01,39,2014-2016,0.0
2015-04-01,12,2014-2016,0.0
2015-04-01,108,2014-2016,0.3644625719558504
2015-04-01,110,2014-2016,0.0
2015-04-01,141,2014-2016,0.0
2015-04-01,17,2014-2016,0.0
2015-04-01,7,2014-2016,0.0
2015-04-01,16,2014-2016,0.0
2015-04-01,137,2014-2016,0.0
2015-04-01,84,2014-2016,0.0
2015-04-01,18,2014-2016,0.0
2015-04-01,25,2014-2016,0.0
2015-04-01,60,2014-2016,0.0
2015-04-01,10,2014-2016,0.0
2015-04-01,62,2014-2016,0.0
2015-04-01,71,2014-2016,0.0
2015-04-01,91,2014-2016,0.0
2015-04-01,75,2014-2016,0.0
2015-04-01,96,2014-2016,0.0
2015-04-01,88,2014-2016,0.0
