system:index,date,timestamp,.geo
108,2016-06-30,1.467266443035E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2016-06-30,1.467266483797E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2016-06-30,1.4673309535E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2016-07-06,1.46776345859E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2016-07-18,1.46880024159E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2016-07-19,1.4689084602E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2016-07-19,1.468908500962E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2016-07-23,1.469253225276E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2016-07-23,1.469253266034E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2016-07-24,1.4694045548E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2016-07-28,1.469685643051E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2016-07-28,1.469685683813E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,2016-07-30,1.46983705981E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2016-08-03,1.470244469605E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,2016-08-10,1.470852151487E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,2016-08-11,1.47087384279E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,2016-08-17,1.47147815615E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,2016-08-23,1.47191066114E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,2016-09-03,1.472882025334E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,2016-09-03,1.472882066096E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,2016-09-04,1.47294744394E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,2016-09-10,1.47355175708E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,2016-09-16,1.47398426199E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,2016-09-28,1.475021042E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,2016-09-28,1.47502106712E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,2016-10-04,1.4756253576E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,2016-10-10,1.476057842E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,2016-10-10,1.476057867E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,2016-10-11,1.47616606028E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,2016-10-11,1.476166101039E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,2016-10-15,1.476510825273E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,2016-10-15,1.476510866031E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,2016-10-20,1.476943243089E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,2016-10-20,1.476943283845E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,2016-10-22,1.477094642E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,2016-10-22,1.47709466708E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,2016-10-28,1.47769895779E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,2016-11-03,1.47813144205E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,2016-11-03,1.478131467E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,2016-11-15,1.4791682419E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,2016-11-15,1.47916826689E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,2016-11-21,1.47977255738E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,2016-11-22,1.479794861253E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,2016-11-22,1.479794902012E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,2016-11-26,1.480139626069E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,2016-11-26,1.480139666832E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
